english,german,correct,wrong
"buoyant","schwimmend, schwimmfähig",0,0
"envy","der Neid, beneiden",0,0
"propulsion","Antrieb",0,0
"tissue","Gewebe",0,0
"sprain","verstauchen, Verstauchung",0,0
"canoe","Kanu",0,0
"rut","Trott",1,1
"veer","abdrehen, ausscheren",0,0
"gitty","Schotter-, grobkörnig",0,0
"suit up","schick machen",0,0
"dismay","Entsetzen, entsetzen",0,0
"consternation","Entsetzen",0,0
"unsanitary","unhygienisch",0,0
"unruly","widerspenstig",0,0
"glitter","funkeln, glitzern",1,0
"puddle","Pfütze",0,0
"rattle","Rassel, rasseln 2) Klappern, klappern",0,0
"sneak","schleichen",0,0
"courteously","höflich",0,0
"squirm","sich winden",0,1
"invertebrate","Wirbellosen",0,0
"pour","strömen",0,0
"saw","Säge, sägen",0,0
"coffin","Sarg",0,0
"streak","Streifen, streifen",0,0
"cavern","Höhle (meistens große Höhle)",0,0
"tore","reißen, zerreißen",0,0
"edible","essbar",0,0
"obscene","obszön",0,0
"raze","(komplett) zerstören (Haus, Stadt)",0,0
"raid","Überfall, Angriff",0,1
"strip away","abbauen",0,0
"sliver","Splitter",0,0
"resolute","entschlossen",0,1
"fraternization","Verbrüderung",0,0
"facilitate","erleichtern",0,0
"downtown","Innenstadt",0,0
"graceful","anmutig",0,0
"dorm","Wohnheim",1,0
"fastidious","anspruchsvoll, wählerisch",0,1
"metabolic","Stoffwechsel-",0,0
"worn down","abgenutzt",0,0
"skirt","Rock",0,0
"drapery","Textilwaren, Vorhang",0,0
"wand","Stab",0,1
"rod","Stange",0,0
"stint","Arbeitsanteil",0,0
"silk","Seide",0,0
"expanse","Ausdehnung, Fläche",1,0
"befriend","befreundet sein",0,0
"piston","Kolben",0,0
"struck","schlagen, treffen",0,0
"pun","Wortspiel",0,0
"mar","verderben, ruinieren, trüben",0,0
"impair","beeinträchtigen, verschlechtern",0,0
"disfigure","entstellen, verunstalten",0,0
"unfazed","unbeeindruckt",0,0
"perturb","stören, beunruhigen",0,0
"hypothermia","Unterkühlung",0,0
